7 1658
14 6107
21 3683
28 1665
35 800
42 481
49 242
56 133
63 88
70 44
77 36
84 25
91 17
98 23
105 13
112 11
119 15
126 19
133 17
140 12
147 11
154 11
161 13
168 3
175 6
182 12
189 8
196 12
203 7
210 9
217 6
224 3
231 3
238 5
245 2
252 3
259 2
266 0
273 5
280 4
287 2
294 1
301 2
308 3
315 2
322 0
329 2
336 1
343 1
350 5
357 2
364 2
371 3
378 3
385 0
392 1
399 2
406 0
413 3
420 3
427 1
434 0
441 0
448 0
455 0
462 0
469 0
476 0
483 0
490 0
497 0
504 0
511 1
518 0
525 1
532 0
539 0
546 1
553 0
560 0
567 0
574 0
581 1
588 0
595 0
602 0
609 0
616 0
623 0
630 0
637 0
644 0
651 1
658 0
665 0
672 0
679 0
686 1
693 0
700 0
707 0
714 1
721 0
728 0
735 0
742 0
749 0
756 0
763 0
770 0
777 0
784 0
791 0
798 0
805 1
812 0
819 1
